Park ID,Park Name,Location Description,District,Classification Type,Neighbourhood,Electoral Ward,Total Area in Hectares,Water Area in Hectares
1022,Toilers Memorial Park,46 Riverside Dr,South,Neighbourhood,POINT ROAD,Fort Rouge - East Fort Garry,0.662012,0
1034,Will and Jeanine Richard Memorial Park,615 Hethrington Ave,South,Neighbourhood,LORD ROBERTS,Fort Rouge - East Fort Garry,0.336603,0
1023,Byng Park,913 Byng Pl,South,Neighbourhood,POINT ROAD,Fort Rouge - East Fort Garry,0.4229,0
1024,Wavell Park North,W of 320 Wavell Ave,South,Neighbourhood,RIVERVIEW,Fort Rouge - East Fort Garry,0.112757,0
1026,Riverview C.C,90 Ashland Ave,South,Community,RIVERVIEW,Fort Rouge - East Fort Garry,3.140343,0
1028,Riverdale Bridge Buffer,E of 772 Jubilee Ave,South,Fragment,LORD ROBERTS,Fort Rouge - East Fort Garry,0.007106,0.001228
103,Melrose Park C.C,480 Kimberly Ave (playground located at 455 Chelsea Ave),East,Community,MUNROE WEST,Elmwood - East Kildonan,1.800424,0
1030,Berwick Bay Park,"N side Berwick Pl, W of Hugo St",South,Neighbourhood,LORD ROBERTS,Fort Rouge - East Fort Garry,0.129914,0
1031,Hugo Street End Park,Between 488 & 498 Berwick Pl,South,Linkage,LORD ROBERTS,Fort Rouge - East Fort Garry,0.071041,0
1032,Nassau Square Park,45 Stinson Ave,South,Neighbourhood,LORD ROBERTS,Fort Rouge - East Fort Garry,0.210143,0
1033,Brandon Avenue Tot Lot,469 Brandon Ave,South,Neighbourhood,LORD ROBERTS,Fort Rouge - East Fort Garry,0.06966,0
1035,Don Gerrie Park,80 Churchill Dr,South,Linkage,RIVERVIEW,Fort Rouge - East Fort Garry,3.356836,0.15841
854,Oscar Paulson Park,51 Avril Ln,South,Neighbourhood,ELMHURST,Charleswood - Tuxedo - Westwood,0.951141,0
1038,Wilkes Waverley Greenspace,Between 955 & 1015 Wilkes Ave,South,Neighbourhood,BROCKVILLE,River Heights - Fort Garry,4.592018,2.735721
1049,Osborne Village Green,514 Stradbrook Ave,South,Neighbourhood,McMILLAN,Fort Rouge - East Fort Garry,0.13727,0
829,H. S. Paul Park,130 Southglen Blvd,East,Community,DAKOTA CROSSING,St. Norbert - Seine River,5.147847,0
1055,Omand's Creek Greenway-South,624 Denson Pl,North,Linkage,MINTO,Daniel McIntyre,1.333724,0.070449
1056,Stewart-St. Charles Playground,405 Allard Ave,North,Neighbourhood,GLENDALE,Charleswood - Tuxedo - Westwood,0.663423,0
1057,Orchard Hill Park,107 Willmington Dr,East,Nature,ROYALWOOD,St. Vital,6.545165,0
1058,Fountainview Park,70 Shorehill Dr,East,Neighbourhood,ROYALWOOD,St. Vital,3.215445,2.446097
1037,Sun Valley Park North,95 Sun Valley Dr,East,Neighbourhood,SPRINGFIELD NORTH,North Kildonan,2.178973,0
104,Blue Bird Park,1 Oddy St,North,Neighbourhood,BROOKLANDS,Point Douglas,0.184865,0
1040,Wightman Green,384 Linwood St,North,Linkage,DEER LODGE,St. James,0.484107,0.029906
1041,Truro Creek Greenway-Winchester,Between 392 & 432 Winchester St,North,Linkage,DEER LODGE,St. James,0.625493,0.057536
833,Thunder Bay Park,75 Thunder Bay,East,Neighbourhood,MEADOWOOD,St. Vital,0.50354,0
1059,Royalwood Park,254 Shorehill Dr,East,Neighbourhood,ROYALWOOD,St. Vital,2.976301,0
107,Pacific Dee Park,1887 Pacific Ave W,North,Community,BROOKLANDS,Point Douglas,0.328263,0
1060,DeGroot Green,S side of Walter Piper Gr at Eaglemere Dr,East,Neighbourhood,EAGLEMERE,Elmwood - East Kildonan,0.193565,0
1063,Central Corydon C.C-Sir John Franklin Site,1 Sir John Franklin Rd,South,Community,SIR JOHN FRANKLIN,River Heights - Fort Garry,2.545744,0
1065,Caron Park,50 Cass St,South,Community,RIVER WEST PARK,Charleswood - Tuxedo - Westwood,8.249045,0.083571
1071,Spence Street End Park,S end of Spence St at Assiniboine River,North Downtown,Linkage,WEST BROADWAY,Fort Rouge - East Fort Garry,0.112513,0.007069
1072,Cornish Park,1 Cornish Ave,North Downtown,Neighbourhood,WEST BROADWAY,Fort Rouge - East Fort Garry,0.052845,0
1076,Whyte Ridge C.C,145 Cloverwood Rd,South,Community,WHYTE RIDGE,Waverley West,5.640754,0
1077,Pritchard Plaza,1 Pritchard Ave,North,Linkage,NORTH POINT DOUGLAS,Mynarski,0.773104,0.016429
1080,St. Catherine-Tremblay Riverbank,489 Tremblay St,East,Nature,ARCHWOOD,St. Boniface,1.529447,0
1082,Inksbrook Park,Innsbrook Dr at Meridian Dr,North,Neighbourhood,NORTH INKSTER INDUSTRIAL,Old Kildonan,2.294035,1.898115
1086,La Verendrye Park,426 Tache Ave,East,Neighbourhood,CENTRAL ST. BONIFACE,St. Boniface,1.794412,0
1090,Lindenwood Drive West Buffer,W side Lindenwood Dr W between Forestgate Ave & Deer Run Dr,South,Buffer,LINDEN WOODS,River Heights - Fort Garry,0.207419,0
1099,Dean Finlay Park / Windsor C.C,99 Springside Dr,East,Community,ELM PARK,St. Vital,1.987736,0
110,Carter Park,806 Carter Ave,South,Neighbourhood,EBBY-WENTWORTH,Fort Rouge - East Fort Garry,0.182151,0
1101,Victoria Crescent Riverbank,174 Victoria Cres,East,Nature,VICTORIA CRESCENT,St. Vital,0.52531,0.026566
11,Nellie McClung Park,55 Lenore St,North,Neighbourhood,WOLSELEY,Daniel McIntyre,0.056681,0
1103,Parc Trottier,W end of Gendreau Ave,South,Linkage,PARC LA SALLE,St. Norbert - Seine River,2.957909,0.129307
1105,Boulevard De La Seigneurie Buffer,SW corner Warde Ave & De La Seigneurie Blvd,East,Buffer,FRAIPONT,St. Vital,0.099444,0
111,Grant Avenue Greenspace-2,N side of Grant Ave between Stafford St and Lilac St,South,Buffer,EARL GREY,Fort Rouge - East Fort Garry,0.285214,0
1106,Wildwood Park,N of South Dr between Wildwood St & North Dr,South,Neighbourhood,WILDWOOD,Fort Rouge - East Fort Garry,3.809027,0
1107,Sumka Riverbank,N of 88 Sumka Rd,East,Nature,ST. VITAL PERIMETER SOUTH,St. Norbert - Seine River,0.832857,0.04962
1108,Hamel Riverbank,Between 444 & 450 Rue Youville,East,Nature,CENTRAL ST. BONIFACE,St. Boniface,3.923106,0.082352
1109,West Taylor Buffer-2,N side Taylor Ave between Coleraine Dr & Portsmouth Blvd,South,Buffer,SOUTH TUXEDO,Charleswood - Tuxedo - Westwood,0.202144,0
1114,Linden Woods C.C,414 Lindenwood Dr W,South,Community,LINDEN WOODS,River Heights - Fort Garry,2.839182,0
1110,Southdale Southwest CPR Buffer,S side of Beaverhill Blvd between Abington Rd & St. Hilaire Pl,East,Buffer,NIAKWA PLACE,St. Boniface,0.272644,0
835,Christie Road Prop,W end of Christie Rd,East,Buffer,ST. VITAL PERIMETER SOUTH,St. Norbert - Seine River,0.374663,0
999,Assiniboine Park,6 Locomotive Dr,South,City,ASSINIBOINE PARK,Charleswood - Tuxedo - Westwood,163.310641,1.509336
1130,Wildwood C.C,271 North Dr,South,Community,WILDWOOD,Fort Rouge - East Fort Garry,9.009354,0.2706
1131,Sturgeon Creek Parkway-A,"Hamilton Ave, N of Crestview Park Dr",North,Linkage,HERITAGE PARK,St. James,16.65024,1.520677
1134,Warde-Lagimodiere Buffer,N side of Warde Ave between Boul De La Seigneurie & Lagimodiere Blvd,East,Buffer,ISLAND LAKES,St. Boniface,1.009623,0
1135,Boni-Vital Greenway North B,560 St. Mary's Rd,East,Linkage,ELM PARK,St. Vital,0.109109,0.01046
1115,Muys Park West,275 Lindenwood Dr W,South,Neighbourhood,LINDEN WOODS,River Heights - Fort Garry,1.00338,0
1117,Fermor Buffer Northwest,"N side of Fermor Ave, W of Autumnwood Dr",East,Buffer,WINDSOR PARK,St. Boniface,1.001451,0
1118,Payment Street Park,164 Payment St,South,Linkage,RICHMOND LAKES,St. Norbert - Seine River,4.156807,0.141903
112,Grant Avenue Greenspace-5,S side Grant Ave between Lilac St & Pembina Hwy,South,Buffer,EBBY-WENTWORTH,Fort Rouge - East Fort Garry,0.872652,0
1124,Lord Roberts C.C,725 Kylemore Ave,South,Community,LORD ROBERTS,Fort Rouge - East Fort Garry,1.750358,0
1128,Waverley Richmond West Buffer-2,E side Waverley St between Kirkbridge Dr & Sandusky Dr,South,Buffer,RICHMOND WEST,Waverley West,0.75023,0
1129,Evesham Key Park,60 Evesham Ky,South,Neighbourhood,ELMHURST,Charleswood - Tuxedo - Westwood,2.963188,0
113,Grant Avenue Greenspace-3,"S of Grant Ave, between Stafford St & Lilac St",South,Buffer,EBBY-WENTWORTH,Fort Rouge - East Fort Garry,0.831073,0
1145,Stewart / Livinia Park,670 Stewart St,North,Neighbourhood,BUCHANAN,St. James,0.167311,0
1146,Van Walleghem Park,37 Lindenwood Dr W,South,Community,LINDEN WOODS,River Heights - Fort Garry,20.659606,12.399791
1147,Nichol Green,54 Glenview Ave,East,Buffer,NORBERRY,St. Vital,0.404907,0
1148,Lagimodiere Buffer-2,W side Lagimodiere Blvd between Betournay St & Cottonwood Rd,East,Buffer,WINDSOR PARK,St. Boniface,0.377542,0
1136,Fermor Buffer South,"Between Fermor Ave & Niakwa Rd, E of Seine River",East,Buffer,NIAKWA PLACE,St. Boniface,0.338273,0
1137,Frontenac Park,865 Cottonwood Rd,East,Linkage,WINDSOR PARK,St. Boniface,2.439653,0
116,River Osborne Wading Pool/Block Parents,466 Gertrude Ave,South,Neighbourhood,McMILLAN,Fort Rouge - East Fort Garry,0.056079,0
864,Beaumont School Park,"E side Civic St, S of Betsworth Ave",South,Neighbourhood,BETSWORTH,Charleswood - Tuxedo - Westwood,1.911854,0
868,Berkley Square Park,635 Berkley St,South,Neighbourhood,BETSWORTH,Charleswood - Tuxedo - Westwood,0.268451,0
1138,Tikina'gaan Park,100 Comanche Rd,East,Neighbourhood,NIAKWA PARK,St. Boniface,0.631911,0
1139,Southdale Pathway,S of 227 Lakewood Blvd,East,Linkage,SOUTHDALE,St. Boniface,0.502703,0
1140,John Bruce Riverbank,"E of John Bruce Rd, S along Seine River",East,Nature,MEADOWOOD,St. Vital,2.593137,0.052467
1142,Hewitt Park,45 Hewitt Cres,South,Neighbourhood,ELMHURST,Charleswood - Tuxedo - Westwood,0.595492,0
1149,St. Boniface Industrial Buffer North,"S side of Dugald Rd, E of Beghin Ave",East,Buffer,ST. BONIFACE INDUSTRIAL PARK,Transcona,0.552955,0
1144,Egerton-Humboldt Riverbank,Between 225 & 269 Egerton Rd,East,Nature,GLENWOOD,St. Vital,0.880483,0.043349
115,River Osborne C.C-Edna Stefaniuk Gym Site,101 Pembina Hwy,South,Community,McMILLAN,Fort Rouge - East Fort Garry,0.831196,0
1151,Parc Marlene Street Park,65 Marlene St,East,Neighbourhood,LAVALEE,St. Vital,3.221351,0
905,Assiniboine Forest,950 Shaftesbury Blvd,South,Nature,ASSINIBOINE PARK,Charleswood - Tuxedo - Westwood,292.201592,0.951105
1161,Lyndale Drive Park South,Between Lyndale Dr & Red River,East,Linkage,NORWOOD WEST,St. Boniface,8.024822,0.47718
907,Tuxedo Southwest Buffer,S side Grant Ave between Park Blvd E & Portsmouth Blvd,South,Buffer,SOUTH TUXEDO,Charleswood - Tuxedo - Westwood,0.237942,0
908,Tuxedo Southeast Buffer,S side Grant Ave E of Portsmouth Bv & N of Ramsgate By,South,Buffer,SOUTH TUXEDO,Charleswood - Tuxedo - Westwood,0.453625,0
1163,Morrow Riverbank,E side of Morrow Ave streetend,East,Nature,ALPINE PLACE,St. Vital,0.987394,0
1165,Pebble Beach CPR Buffer South,E side Pebble Beach Rd between Medowbrook Rd & Willowlake Cres,East,Buffer,NIAKWA PLACE,St. Boniface,0.600948,0
1167,Desjardins Park,E of 127 Desjardins Dr,East,Neighbourhood,ISLAND LAKES,St. Boniface,0.117883,0
1170,Stillwater Park,NW Willowlake Cres & Lakewood Blvd,East,Neighbourhood,SOUTHDALE,St. Boniface,1.888606,1.24612
1173,Elmwood Kildonan Pool,909 Concordia Ave,East,Community,VALLEY GARDENS,Elmwood - East Kildonan,1.41198,0
1179,Aberdeen Adventure Playground,150 Aberdeen Ave,North,Neighbourhood,NORTH POINT DOUGLAS,Mynarski,0.988943,0.073779
118,Benson Park,226 Cockburn St N,South,Neighbourhood,McMILLAN,Fort Rouge - East Fort Garry,0.064774,0
1181,Carrigan Place Woodlot,"Between Carrigan Pl & Greencrest Ave, W of Ulster St",South,Nature,FORT RICHMOND,St. Norbert - Seine River,1.54676,0
1182,Maginot CPR Buffer,"E & W of Drake Blvd, S of Prom Brunet",East,Buffer,MAGINOT,St. Boniface,0.635044,0
1183,Ambassador Buffer,S of 47 Ambasador Row,North,Linkage,TEMPLETON-SINCLAIR,Old Kildonan,0.044489,0
1191,West Taylor Buffer-3,N side Taylor Ave between Portsmount Blvd & Morpeth Blvd,South,Buffer,SOUTH TUXEDO,Charleswood - Tuxedo - Westwood,0.196877,0
1188,McGregor CPR Buffer,"E side of McGregor St, N of Leila Ave",North,Neighbourhood,MARGARET PARK,Mynarski,1.023185,0
1190,Wellington Stradbrook Buffer,612 Stradbrook Ave,South,Neighbourhood,McMILLAN,Fort Rouge - East Fort Garry,0.07648,0
1192,Disraeli-George Buffer,59 Lily St,North Downtown,Fragment,SOUTH POINT DOUGLAS,Point Douglas,0.014897,0
1193,St. Anne's-Shorehill Riverbank,SE Shorehill Dr & St. Anne's Rd,East,Linkage,DAKOTA CROSSING,St. Norbert - Seine River,3.311967,0
1194,Plaza Drive Park,E of Plaza Dr to the Red River,South,Linkage,PEMBINA STRIP,River Heights - Fort Garry,5.02161,0.451529
1221,St. James Civic Centre,2055 Ness Ave,North,Community,DEER LODGE,St. James,1.791309,0
1222,Reykdal Family Park,110 Thom Ave E,East,Neighbourhood,KILDARE-REDONDA,Transcona,1.575054,0
1224,The Passage,N Berkley St streetend to Assiniboine River,South,Linkage,SOUTHBOINE,Charleswood - Tuxedo - Westwood,0.089528,0
1197,Tom Chester Park,310 Haney St,South,Linkage,MARLTON,Charleswood - Tuxedo - Westwood,16.093781,0.587456
1199,Linden Ridge Park,70 Linden Ridge Dr,South,Community,LINDEN RIDGE,Waverley West,5.010156,1.747493
1200,Dovercourt Park,"E of Dovercourt Dr, between Ocean Ridge Dr & Castle Ridge Dr",South,Neighbourhood,LINDEN RIDGE,Waverley West,0.287882,0
1198,Beliveau Forest,143 Beliveau Rd,East,Nature,WORTHINGTON,St. Vital,0.88838,0
1202,Harte Trail,"S side of Ridgewood Ave, E of Perimeter Hwy",South,Linkage,RIDGEWOOD SOUTH,Charleswood - Tuxedo - Westwood,17.571349,0
1209,Nick Ternette Memorial Park,165 Evanson St,North,Neighbourhood,WOLSELEY,Daniel McIntyre,0.022707,0
121,McDermot Lane Park,185 McDermot Ave,North Downtown,Neighbourhood,EXCHANGE DISTRICT,Point Douglas,0.045222,0
1205,Seine River Greenway-Woodydell Novavista,E (behind) 649 St. Anne's Rd,East,Linkage,MEADOWOOD,St. Vital,0.394128,0.012442
1208,William Marshall Park,S end of Dominion St at Assiniboine River,North,Linkage,WOLSELEY,Daniel McIntyre,0.118661,0.008045
1215,Vanderbilt Park,Between 132 & 148 Vanderbilt Dr,South,Neighbourhood,WHYTE RIDGE,Waverley West,0.328518,0
1212,Edelweiss Park,Between 95 & 103 Edelweiss Cres,East,Neighbourhood,ROSSMERE-A,North Kildonan,0.076234,0
1214,Syndicate Tot Lot,S side of Rover Ave between Syndicate St & Stephens St,North,Neighbourhood,NORTH POINT DOUGLAS,Mynarski,0.138391,0
1217,Leila Triangle,480 Leila Ave,North,Neighbourhood,JEFFERSON,Mynarski,0.273326,0
126,Munson Park,475 Wellington Cres,South,Neighbourhood,CRESCENTWOOD,River Heights - Fort Garry,3.038936,0
1263,Euclid / Austin Passive Park,Euclid Ave & Austin Street N,North,Neighbourhood,NORTH POINT DOUGLAS,Mynarski,0.068156,0
1218,Sturgeon Road Athletic Field,1160 Sturgeon Rd,North,Community,HERITAGE PARK,St. James,13.626642,0
122,Mayfair Park East,179 Mayfair Ave,South,Neighbourhood,RIVER-OSBORNE,Fort Rouge - East Fort Garry,0.840486,0
1220,St. James Memorial Sports Park,470 Rutland St,North,Community,AIRPORT,St. James,15.505552,0.097122
1225,Daniel Flood Park,92 William Marshall Wy,South,Nature,RIDGEDALE,Charleswood - Tuxedo - Westwood,1.49426,0
123,Mayfair Recreation Centre,40 Mayfair Pl,South,Community,RIVER-OSBORNE,Fort Rouge - East Fort Garry,0.590449,0
1233,McBey Playground,3180 McBey Ave,North,Neighbourhood,KIRKFIELD,Charleswood - Tuxedo - Westwood,0.090913,0
1235,Millennium Library Park,251 Donald St,North Downtown,Community,SOUTH PORTAGE,Fort Rouge - East Fort Garry,0.489508,0
1236,Chief Peguis Trail NE,N of Chief Peguis between Red River & Henderson Hwy,East,Buffer,KILDONAN DRIVE,North Kildonan,0.106019,0
1237,Chief Peguis Trail SE,S of Chief Peguis Trail E of bridge,East,Linkage,KILDONAN DRIVE,North Kildonan,1.020329,0
1238,Charleswood Bridge South,N side of Roblin Blvd at William Clement Pky,South,Linkage,VIALOUX,Charleswood - Tuxedo - Westwood,7.549514,0
124,Fort Rouge Park,295 River Ave,South,Neighbourhood,RIVER-OSBORNE,Fort Rouge - East Fort Garry,2.041765,0.087996
1240,Transcona Trail-D,CNR Victoria Beach Line between Larche Ave W & Hoka St,East,Linkage,RADISSON,Transcona,1.290139,0
1242,Pinehurst / Byron Park,41 Pinehurst Cres,North,Neighbourhood,KIRKFIELD,Charleswood - Tuxedo - Westwood,2.123649,0
1246,Cedar Ranch Buffer,"E, behind houses of Gallant Cv & Courageous Cv",East,Buffer,MISSION GARDENS,Transcona,0.23426,0
125,Gerald James Lynch Park,26 Osborne St,South,Neighbourhood,RIVER-OSBORNE,Fort Rouge - East Fort Garry,0.243918,0.002228
1243,Oblate Field,Between 450 & 480 Augier Ave,North,Linkage,GLENDALE,Charleswood - Tuxedo - Westwood,0.407042,0
1247,Chinese Gardens,180 King St,North Downtown,Community,CHINA TOWN,Point Douglas,0.125439,0
1251,Hammond-Cullen Pathway,"Between Hammond Rd & Cullen Dr, E of Dale Blvd",South,Linkage,WESTDALE,Charleswood - Tuxedo - Westwood,0.399209,0
1257,Canora Green,850 Palmerston Ave,North Downtown,Linkage,WOLSELEY,Daniel McIntyre,0.092692,0.003444
1259,Grace Street Tot Lot,85 Grace St,North Downtown,Neighbourhood,SOUTH POINT DOUGLAS,Point Douglas,0.091326,0
127,Enderton Park,11 Ruskin Row,South,Neighbourhood,CRESCENTWOOD,River Heights - Fort Garry,1.039902,0
1252,Donald Riverbank,409 Mulvey Ave E,South,Linkage,RIVERVIEW,Fort Rouge - East Fort Garry,5.106263,0.253233
1274,Century Street Overpass East,155 Century St,North,Neighbourhood,POLO PARK,St. James,1.079855,0
128,Maryland Bridge Park,595 Wellington Cres,South,Neighbourhood,WELLINGTON CRESCENT,River Heights - Fort Garry,0.533403,0.027941
129,Omand Park,1430 Portage Ave,North,Community,WOLSELEY,Daniel McIntyre,5.176502,0.242588
1264,Shorehill Drive Park,425 Shorehill Dr,East,Neighbourhood,ROYALWOOD,St. Vital,4.018929,0
1269,St. James Greenspace,415 Woodlawn St,North,"Review - Will be reviewed by Naturalists, otherwise Neighbourhood",DEER LODGE,St. James,0.210479,0
1297,St. James Assiniboia Centennial Pool,644 Parkdale St,North,Community,STURGEON CREEK,St. James,2.070055,0
1299,Charleswood Bridge North,"Moray St, N of Assiniboine River",North,Linkage,BIRCHWOOD,St. James,1.139436,0.022866
13,23 Archibald Riverbank,23 Archibald St,East,Linkage,NORTH ST. BONIFACE,St. Boniface,0.224968,0.006382
1294,South St. Vital Greenway-1,Behind Longford Ave between St. Mary's Rd & Paddington Rd,East,Linkage,RIVER PARK SOUTH,St. Norbert - Seine River,0.79326,0
1296,Bard Place Park,S of 621 Shaftesbury Blvd,South,Neighbourhood,SOUTH TUXEDO,Charleswood - Tuxedo - Westwood,0.77902,0
1329,Headmaster-Sunny Morning Park,Headmaster Row between Vintage Hills Ct & Mitchelson Wy,East,Neighbourhood,SPRINGFIELD NORTH,North Kildonan,1.205945,1.009909
1302,The Meadows,N of 226 Dawnville Dr,East,Neighbourhood,MEADOWS,Transcona,0.311137,0
131,Aubrey Playground,35 Aubrey St,North,Neighbourhood,WOLSELEY,Daniel McIntyre,0.23968,0
1318,Grace-Dewdney Park,43 Grace St,North Downtown,Linkage,SOUTH POINT DOUGLAS,Point Douglas,0.182042,0.030463
1319,Spirit Park Community Garden,200 Young St,North Downtown,Neighbourhood,WEST BROADWAY,Fort Rouge - East Fort Garry,0.094864,0
1322,Pollock Island,200 St. Pierre St,South,Nature,ST. NORBERT,St. Norbert - Seine River,6.895193,0.554277
1315,Bois-des-esprits Extension,"S side of Shorehill Dr, between St. Anne's Rd & Bridgetown Dr",East,Nature,ROYALWOOD,St. Vital,3.031555,0.041385
1323,Santa Fe Park,S side of Adsum Dr between Dr. Jose Rizal Wy & Santa Fe Dr,North,Neighbourhood,MANDALAY WEST,Old Kildonan,3.007705,1.974158
1325,Rick Boychuck Bay Park,Between 71 & 79 Rick Boychuck By,East,Neighbourhood,MISSION GARDENS,Transcona,0.07223,0
132,Vimy Ridge Memorial Park,821 Preston Ave,North Downtown,Community,WOLSELEY,Daniel McIntyre,2.677998,0
1320,Spirit Park,253 Langside St,North Downtown,Neighbourhood,WEST BROADWAY,Fort Rouge - East Fort Garry,0.028221,0
1326,Dufferin Tot Lot-Kinsman,Dufferin Ave E of Robinson St,North,Neighbourhood,LORD SELKIRK PARK,Mynarski,0.133536,0
1330,Dr. Jose Rizal Park,111 Sewa Cres,North,Neighbourhood,MANDALAY WEST,Old Kildonan,1.475369,0
1333,de Graaf Nature Park,95 Reg Wyatt Wy,East,Linkage,GRASSIE,Transcona,1.298669,0
1331,North Perimeter Park,200 Jim Turney Dr,North,Community,RIVERGROVE,Outside City Limit,5.332876,0
1336,Burrows Alfred Walkway,145 Burrows Ave & 148 Alfred Ave,North,Linkage,NORTH POINT DOUGLAS,Mynarski,0.048874,0
1338,Amber Trails Walk,N of Morava Wy between Amberstone Rd & Massala Dr,North,Linkage,AMBER TRAILS,Old Kildonan,1.387768,0
1373,Wood Sage Park,1855 Warde Ave,East,Linkage,SAGE CREEK,St. Vital,4.414866,2.105657
1339,Leila-Strasbourg Park,50 Strasbourg Dr,North,Neighbourhood,AMBER TRAILS,Old Kildonan,2.853068,0
134,Lagimodiere Buffer-1,W side Lagimodere Blvd between Baudoux Pl & Betournay St,East,Buffer,WINDSOR PARK,St. Boniface,0.51054,0
1342,The Oaks Path,N side of Oak Forest Cres between City limits & Four Oaks Cv,North,Linkage,ASSINIBOIA DOWNS,Charleswood - Tuxedo - Westwood,0.801083,0
1348,Bridgwater Forest Path,"N side of North Town Rd, S of Highland Creek Rd",South,"Review - Will be reviewed by Naturalists, otherwise Linkage",BRIDGWATER FOREST,Waverley West,5.770465,2.659657
1328,Olympic Park,864 Headmaster Row,East,Neighbourhood,SPRINGFIELD NORTH,North Kildonan,0.808129,0
1343,The Oaks Greenspace,S side of Oak Forest Cres between City limits & Hidden Oaks Cv,North,Greenfield - Future Park: Buffer,ASSINIBOIA DOWNS,Charleswood - Tuxedo - Westwood,0.044627,0
1354,Inderjit Claire Park,1425 Concordia Ave E,East,Linkage,GRASSIE,Transcona,3.486429,0
1361,Buhler Recreation Park,135 Murdock Rd,East,Regional - Sport,TRANSCONA SOUTH,Transcona,57.219451,0.990496
1371,Bridgewood-Perfanick Park,Between 111 Filbert Cres & 7 Bridgewood Dr,East,Linkage,GRASSIE,Transcona,0.060159,0
1351,Emeka Nnadi Park,119 Bridgeland Dr N,South,Neighbourhood,BRIDGWATER FOREST,Waverley West,0.346812,0
1372,Tallgrass Park,89 Bv Des Hivernants Blvd,East,Linkage,SAGE CREEK,St. Vital,1.139543,0.442012
136,McFadyen Playground,416 Assiniboine Ave,North Downtown,Neighbourhood,BROADWAY-ASSINIBOINE,Fort Rouge - East Fort Garry,0.67546,0
1362,East Blanchard Park,E side of East Gate at Blanchard Ave,North Downtown,Linkage,ARMSTRONG POINT,Fort Rouge - East Fort Garry,0.170518,0
1363,Bridgwater Forest Park,56 Aspen Forest Pt,South,Linkage,BRIDGWATER FOREST,Waverley West,14.797354,1.585506
1370,Sir John A. MacDonald Park,415 Kildonan Meadow Dr,East,Neighbourhood,MEADOWS,Transcona,2.322149,0
1374,River Ridge Riverbank Park,SE conner of Ridgecrest Ave & Rivergrove Dr,North,Nature,RIVERGROVE,North Kildonan,6.307997,0.414054
1375,River Ridge Walkway,E & W of Rivergrove Dr between Grifindale By & River Ridge Dr,North,Linkage,RIVERGROVE,North Kildonan,0.340173,0
1378,St. Charles Forest,418 Oxbow Bend Rd,North,Greenfield - Future Park: Buffer,ASSINIBOIA DOWNS,Charleswood - Tuxedo - Westwood,3.030728,0.16984
1379,Prairie Oaks Park,28 Prairie Oaks Cv,North,Review - Will be reviewed by Naturalists,ASSINIBOIA DOWNS,Charleswood - Tuxedo - Westwood,0.37392,0.152475
1383,John Blumberg Park,"4540 Portage Ave Headingley, Mb",North,Regional - Sport,ASSINIBOIA DOWNS,Outside City Limit,30.793405,0
